proveedor_id,nombre_proveedor,pais,telefono
99,"Warren, George and Bullock",French Guiana,(093)044-8359
100,Phillips LLC,Trinidad and Tobago,586-686-3202x3487
101,Davis-Hooper,Guernsey,(369)605-9999
102,Hart PLC,United Arab Emirates,393-685-9918
103,Lopez-Castro,Armenia,+1-627-299-2083x72615
104,Lynch-Young,Korea,182-236-5045
105,Marshall-Chen,Cuba,146.474.2169
106,Dennis Inc,Sao Tome and Principe,207-845-2342x892
107,"Hall, Knapp and Patterson",Yemen,207-218-0558
108,"Scott, Perez and Phelps",Saint Lucia,(885)601-7570x197
109,"Sullivan, Kaufman and Romero",Bolivia,+1-648-050-3306
110,Anderson Ltd,Kiribati,+1-556-968-3591x892
111,Arnold PLC,Bhutan,(576)506-6037
112,"Mendoza, Friedman and Rodriguez",Holy See (Vatican City State),001-376-297-4665x464
113,Miller and Sons,Martinique,418.291.4632x5482
114,Gomez-Thompson,Brunei Darussalam,001-963-921-4971
115,Taylor-Foster,Cayman Islands,(007)268-8161x3712
116,"Castro, Johnson and Davis",Denmark,+1-005-090-1127x6617
117,Hardy Inc,Turkmenistan,577.585.5119x0694
118,Alexander-Baker,Bosnia and Herzegovina,001-016-508-3106x7014
119,"Henry, Watkins and Stone",Mali,+1-006-667-5041x92163
120,"Silva, Jones and Bond",Congo,403.670.7499x27005
121,White LLC,Congo,433.725.4790x09578
122,"Lewis, Miller and Logan",Paraguay,735.439.4003x03140
123,Powell LLC,Sao Tome and Principe,903-240-9156
124,Brandt PLC,Honduras,(423)623-6588x2625
125,Taylor PLC,Northern Mariana Islands,+1-377-169-5016x9724
126,"Holloway, Pearson and Christian",Bouvet Island (Bouvetoya),(689)278-5952
127,Ramirez-Wilson,Albania,001-145-552-3717x8089
128,Sanchez-Ross,Bahrain,873-452-7080
129,"Gilbert, Flores and Stanley",Central African Republic,258-816-0455x59833
130,Baker Inc,Saint Martin,001-798-438-4925x907
131,"Wood, Smith and King",Ecuador,+1-087-048-6049x5110
132,"Kelley, Parker and Smith",Argentina,739-175-4668
133,Winters Group,Lao People's Democratic Republic,633-080-2346
134,Ortega-Campbell,Guam,(057)233-9133
135,Hernandez and Sons,Latvia,+1-059-417-2958x42531
136,"Moran, Chase and Arias",Montenegro,(924)549-1879x781
137,"Cox, Huff and Martin",Latvia,241-974-1780x023
138,"Chase, Brown and Mcdonald",Nigeria,(679)470-1222
139,Stephenson Group,Mauritius,+1-029-986-6233x2911
140,Long Inc,Montserrat,936-180-7206x4164
141,Blackburn-Kim,Tonga,314.403.1938
142,"Ayers, Lawrence and Small",Paraguay,+1-835-103-2489x8227
143,Chapman PLC,Chad,156-774-6509
144,Hayden PLC,Albania,242.144.9742
145,Fitzpatrick Inc,Gambia,001-328-599-0371
146,Watson Inc,Hungary,442.883.3419x40596
147,"Fuller, Smith and Smith",Gibraltar,+1-129-247-1057
148,Garcia Inc,Anguilla,(788)937-5906
149,Clark PLC,British Indian Ocean Territory (Chagos Archipelago),+1-159-100-8703x3562
150,Morris PLC,United Arab Emirates,+1-151-949-8382x8661
